district,year,monthly_delivery_cycle,order_submission_date,expected_district_delivery_date
Chavuma,2010,1,2009-12-25,2010-01-14
Kabompo,2010,1,2009-12-25,2010-01-13
Kaoma,2010,1,2010-01-05,2010-01-20
Kasama,2010,1,2009-12-21,2010-01-06
Milenge,2010,1,2009-12-15,2009-12-29
Mkushi,2010,1,2009-12-24,2010-01-07
Mufumbwe,2010,1,2009-12-25,2010-01-12
Mungwi,2010,1,2009-12-21,2010-01-06
Mwinilunga,2010,1,2009-12-23,2010-01-06
Nakonde,2010,1,2009-12-23,2010-01-08
Shangombo,2010,1,2009-12-25,2010-01-13
Chama,2010,2,2010-01-22,2010-02-10
Chavuma,2010,2,2010-01-25,2010-02-11
Kabompo,2010,2,2010-01-25,2010-02-10
Kaoma,2010,2,2010-02-02,2010-02-17
Kasama,2010,2,2010-01-18,2010-02-03
Milenge,2010,2,2010-01-12,2010-01-26
Mkushi,2010,2,2010-01-21,2010-02-04
Mufumbwe,2010,2,2010-01-25,2010-02-09
Mungwi,2010,2,2010-01-18,2010-02-03
Mwinilunga,2010,2,2010-01-20,2010-02-03
Nakonde,2010,2,2010-01-20,2010-02-05
Shangombo,2010,2,2010-01-22,2010-02-10
Chama,2010,3,2010-02-19,2010-03-11
Chavuma,2010,3,2010-02-22,2010-03-12
Kabompo,2010,3,2010-02-22,2010-03-11
Kaoma,2010,3,2010-03-02,2010-03-17
Kasama,2010,3,2010-02-15,2010-03-03
Milenge,2010,3,2010-02-09,2010-02-24
Mkushi,2010,3,2010-02-18,2010-03-04
Mufumbwe,2010,3,2010-02-22,2010-03-10
Mungwi,2010,3,2010-02-15,2010-03-03
Mwinilunga,2010,3,2010-02-17,2010-03-03
Nakonde,2010,3,2010-02-17,2010-03-05
Shangombo,2010,3,2010-02-19,2010-03-11
Chama,2010,4,2010-03-26,2010-04-15
Chavuma,2010,4,2010-03-30,2010-04-15
Kabompo,2010,4,2010-03-30,2010-04-14
Kaoma,2010,4,2010-04-06,2010-04-21
Kasama,2010,4,2010-03-22,2010-04-08
Milenge,2010,4,2010-03-16,2010-03-30
Mkushi,2010,4,2010-03-25,2010-04-09
Mufumbwe,2010,4,2010-03-30,2010-04-13
Mungwi,2010,4,2010-03-22,2010-04-08
Mwinilunga,2010,4,2010-03-24,2010-04-08
Nakonde,2010,4,2010-03-24,2010-04-10
Shangombo,2010,4,2010-03-26,2010-04-14
Chama,2010,5,2010-04-23,2010-05-12
Chavuma,2010,5,2010-04-26,2010-05-13
Kabompo,2010,5,2010-04-26,2010-05-12
Kaoma,2010,5,2010-05-04,2010-05-19
Kasama,2010,5,2010-04-19,2010-05-05
Milenge,2010,5,2010-04-13,2010-04-27
Mkushi,2010,5,2010-04-22,2010-05-06
Mufumbwe,2010,5,2010-04-26,2010-05-11
Mungwi,2010,5,2010-04-19,2010-05-05
Mwinilunga,2010,5,2010-04-21,2010-05-05
Nakonde,2010,5,2010-04-21,2010-05-07
Shangombo,2010,5,2010-04-23,2010-05-12
Chama,2010,6,2010-05-21,2010-06-09
Chavuma,2010,6,2010-05-21,2010-06-10
Kabompo,2010,6,2010-05-21,2010-06-09
Kaoma,2010,6,2010-06-01,2010-06-16
Kasama,2010,6,2010-05-17,2010-06-02
Milenge,2010,6,2010-05-11,2010-05-25
Mkushi,2010,6,2010-05-19,2010-06-03
Mufumbwe,2010,6,2010-05-21,2010-06-08
Mungwi,2010,6,2010-05-17,2010-06-02
Mwinilunga,2010,6,2010-05-19,2010-06-02
Nakonde,2010,6,2010-05-19,2010-06-04
Shangombo,2010,6,2010-05-21,2010-06-09
Chama,2010,7,2010-06-25,2010-07-16
Chavuma,2010,7,2010-06-28,2010-07-15
Kabompo,2010,7,2010-06-28,2010-07-14
Kaoma,2010,7,2010-07-02,2010-07-21
Kasama,2010,7,2010-06-21,2010-07-10
Milenge,2010,7,2010-06-15,2010-06-29
Mkushi,2010,7,2010-06-24,2010-07-10
Mufumbwe,2010,7,2010-06-28,2010-07-13
Mungwi,2010,7,2010-06-21,2010-07-09
Mwinilunga,2010,7,2010-06-23,2010-07-09
Nakonde,2010,7,2010-06-23,2010-07-10
Shangombo,2010,7,2010-06-25,2010-07-14
Chama,2010,8,2010-07-23,2010-08-12
Chavuma,2010,8,2010-07-26,2010-08-12
Kabompo,2010,8,2010-07-26,2010-08-11
Kaoma,2010,8,2010-08-03,2010-08-18
Kasama,2010,8,2010-07-19,2010-08-05
Milenge,2010,8,2010-07-13,2010-07-27
Mkushi,2010,8,2010-07-22,2010-08-06
Mufumbwe,2010,8,2010-07-26,2010-08-10
Mungwi,2010,8,2010-07-19,2010-08-05
Mwinilunga,2010,8,2010-07-21,2010-08-05
Nakonde,2010,8,2010-07-21,2010-08-07
Shangombo,2010,8,2010-07-23,2010-08-11
Chama,2010,9,2010-08-20,2010-09-08
Chavuma,2010,9,2010-08-23,2010-09-09
Kabompo,2010,9,2010-08-23,2010-09-08
Kaoma,2010,9,2010-08-31,2010-09-15
Kasama,2010,9,2010-08-16,2010-09-01
Milenge,2010,9,2010-08-10,2010-08-24
Mkushi,2010,9,2010-08-19,2010-09-02
Mufumbwe,2010,9,2010-08-23,2010-09-07
Mungwi,2010,9,2010-08-16,2010-09-01
Mwinilunga,2010,9,2010-08-18,2010-09-02
Nakonde,2010,9,2010-08-18,2010-09-03
Shangombo,2010,9,2010-08-20,2010-09-08
Chama,2010,10,2010-09-24,2010-10-13
Chavuma,2010,10,2010-09-27,2010-10-14
Kabompo,2010,10,2010-09-27,2010-10-13
Kaoma,2010,10,2010-10-05,2010-10-20
Kasama,2010,10,2010-09-20,2010-10-06
Milenge,2010,10,2010-09-14,2010-09-28
Mkushi,2010,10,2010-09-23,2009-10-07
Mufumbwe,2010,10,2010-09-27,2010-10-12
Mungwi,2010,10,2010-09-20,2010-10-06
Mwinilunga,2010,10,2010-09-22,2010-10-06
Nakonde,2010,10,2010-09-22,2009-10-08
Shangombo,2010,10,2010-09-23,2010-10-13
Chama,2010,11,2010-10-22,2010-11-10
Chavuma,2010,11,2010-10-25,2010-11-11
Kabompo,2010,11,2010-10-25,2010-11-10
Kaoma,2010,11,2010-11-02,2010-11-17
Kasama,2010,11,2010-10-18,2010-11-03
Milenge,2010,11,2010-10-12,2010-10-27
Mkushi,2010,11,2010-10-21,2010-11-04
Mufumbwe,2010,11,2010-10-25,2010-11-09
Mungwi,2010,11,2010-10-18,2010-11-03
Mwinilunga,2010,11,2010-10-19,2010-11-03
Nakonde,2010,11,2010-10-18,2010-11-05
Shangombo,2010,11,2010-10-22,2010-11-10
Chama,2010,12,2010-11-19,2010-12-08
Chavuma,2010,12,2010-11-22,2010-12-09
Kabompo,2010,12,2010-11-22,2010-12-08
Kaoma,2010,12,2010-11-30,2010-12-15
Kasama,2010,12,2010-11-15,2010-12-01
Milenge,2010,12,2010-11-09,2010-11-23
Mkushi,2010,12,2010-11-18,2009-12-02
Mufumbwe,2010,12,2010-11-22,2010-12-07
Mungwi,2010,12,2010-11-15,2010-12-01
Mwinilunga,2010,12,2010-11-17,2010-12-01
Nakonde,2010,12,2010-11-17,2010-12-03
Shangombo,2010,12,2010-11-19,2010-12-08
