File Name,District,Health Center,Drug Name,Date,Transaction Type,Transacting Party,Receipt,Issuance,Adjustment,Stock Balance,Notes,Units,Balanced?,Was
chifunda-H.C-17-06-2009-artemether-lumefantrine 18s-1,Chama,Chifunda (Chama),Coartem 18,5/19/09,Issuance,,,30,,30,,,,0
chifunda-H.C-17-06-2009-artemether-lumefantrine 18s-1,Chama,Chifunda (Chama),Coartem 18,5/28/09,Issuance,,,30,,0,,,,0
chifunda-H.C-17-06-2009-artemether-lumefantrine 18s-1,Chama,Chifunda (Chama),Coartem 18,6/1/09,Physical Count,,,,,0,,,,0
chifunda-H.C-17-06-2009-artemether-lumnefantrine 6s-1,Chama,Chifunda (Chama),Coartem 6,5/1/09,Physical Count,,,,,0,,,,0
chifunda-H.C-17-06-2009-artemether-lumnefantrine 6s-1,Chama,Chifunda (Chama),Coartem 6,5/18/09,Receipt,,60,,,60,,,,0
chifunda-H.C-17-06-2009-artemether-lumnefantrine 6s-1,Chama,Chifunda (Chama),Coartem 6,5/19/09,Issuance,,,30,,30,,,,0
chifunda-H.C-17-06-2009-artemether-lumnefantrine 6s-1,Chama,Chifunda (Chama),Coartem 6,5/28/09,Issuance,,,30,,0,,,,0
chifunda-H.C-17-06-2009-artemether-lumnefantrine 6s-1,Chama,Chifunda (Chama),Coartem 6,6/1/09,Physical Count,,,,,0,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 6s-1,Chama,Chigoma (Chama),Coartem 6,5/21/09,Physical Count,,,,,0,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 6s-1,Chama,Chigoma (Chama),Coartem 6,5/29/09,Physical Count,,,,,0,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 6s-1,Chama,Chigoma (Chama),Coartem 6,6/3/09,Receipt,,90,,,90,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 6s-1,Chama,Chigoma (Chama),Coartem 6,6/8/09,Issuance,,,30,,60,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 12s-1,Chama,Chigoma (Chama),Coartem 12,5/19/09,Physical Count,,,,,60,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 12s-1,Chama,Chigoma (Chama),Coartem 12,5/19/09,Receipt,,60,,,120,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 12s-1,Chama,Chigoma (Chama),Coartem 12,5/21/09,Issuance,,,30,,90,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 12s-1,Chama,Chigoma (Chama),Coartem 12,5/29/09,Physical Count,,,,,90,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 12s-1,Chama,Chigoma (Chama),Coartem 12,6/1/09,Issuance,,,30,,60,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 12s-1,Chama,Chigoma (Chama),Coartem 12,6/3/09,Receipt,,90,,,150,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 12s-1,Chama,Chigoma (Chama),Coartem 12,6/8/09,Issuance,,,30,,120,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 18s-1,Chama,Chigoma (Chama),Coartem 18,5/22/09,Physical Count,,,,,150,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 18s-1,Chama,Chigoma (Chama),Coartem 18,5/29/09,Physical Count,,,,,150,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 18s-1,Chama,Chigoma (Chama),Coartem 18,5/29/09,Issuance,,,30,,120,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 18s-1,Chama,Chigoma (Chama),Coartem 18,6/1/09,Issuance,,,60,,60,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 18s-1,Chama,Chigoma (Chama),Coartem 18,6/3/09,Receipt,,90,,,150,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 24s-1,Chama,Chigoma (Chama),Coartem 24,5/16/09,Physical Count,,,,,30,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 24s-1,Chama,Chigoma (Chama),Coartem 24,5/29/09,Physical Count,,,,,30,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 24s-1,Chama,Chigoma (Chama),Coartem 24,6/1/09,Issuance,,,30,,0,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 24s-1,Chama,Chigoma (Chama),Coartem 24,6/3/09,Receipt,,30,,,90,ARITHMETIC ERROR,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 24s-1,Chama,Chigoma (Chama),Coartem 24,6/8/09,Issuance,,,30,,60,,,,0
chigoma-H.C-16-06-2009-artemether-lumefantrine 24s-1,Chama,Chigoma (Chama),Coartem 24,6/16/09,Issuance,,,30,,30,,,,0
chikwa-18-06-2009-artemether-lumefntrine 6s-1,Chama,Chikwa (Chama),Coartem 6,9-May,Issuance,,,2,,0,Dates cut off,,,0
chikwa-18-06-2009-artemether-lumefntrine 6s-1,Chama,Chikwa (Chama),Coartem 6,9-May,Receipt,,6,,,6,Dates cut off,Boxes,,0
chikwa-18-06-2009-artemether-lumefntrine 6s-1,Chama,Chikwa (Chama),Coartem 6,9-May,Issuance,,,1,,5,Dates cut off,Boxes,,0
chikwa-18-06-2009-artemether-lumefntrine 6s-1,Chama,Chikwa (Chama),Coartem 6,9-May,Issuance,,,1,,4,Dates cut off,Boxes,,0
chikwa-18-06-2009-artemether-lumefntrine 6s-1,Chama,Chikwa (Chama),Coartem 6,9-Jun,Physical Count,,,,,4,Dates cut off,Boxes,,0
chikwa-18-06-2009-artemether-lumefntrine 6s-1,Chama,Chikwa (Chama),Coartem 6,9-Jun,Issuance,,,1,,3,Dates cut off,Boxes,,0
chikwa-18-06-2009-artemether-lumefntrine 6s-1,Chama,Chikwa (Chama),Coartem 6,9-Jun,Issuance,,,1,,2,Dates cut off,Boxes,,0
chikwa.H.C-18-5-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,5/15/09,Receipt,,2,,,2,,,,0
chikwa.H.C-18-5-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,5/15/09,Issuance,,,1,,1,,,,0
chikwa.H.C-18-5-2009-artemether-lumefantrine 18s-1,Chama,Chikwa (Chama),Coartem 18,9-May,Receipt,,2,,,2,Dates cut off,,,0
chikwa.H.C-18-5-2009-artemether-lumefantrine 18s-1,Chama,Chikwa (Chama),Coartem 18,9-May,Issuance,,,1,,1,Dates cut off,,,0
chikwa.H.C-18-5-2009-artemether-lumefantrine 24s-1,Chama,Chikwa (Chama),Coartem 24,9-May,Receipt,,2,,,2,Dates cut off,,,0
chikwa.H.C-18-5-2009-artemether-lumefantrine 24s-1,Chama,Chikwa (Chama),Coartem 24,9-May,Issuance,,,1,,1,Dates cut off,,,0
chikwa-H.C-18-06-2009-artemether-lumefantrine- 24s-1,Chama,Chikwa (Chama),Coartem 24,5/15/09,Receipt,,2,,,2,,,,0
chikwa-H.C-18-06-2009-artemether-lumefantrine- 24s-1,Chama,Chikwa (Chama),Coartem 24,5/22/09,Issuance,,,2,,0,ARITHMETIC ERROR,,,0
chikwa-H.C-18-06-2009-artemether-lumefantrine- 24s-1,Chama,Chikwa (Chama),Coartem 24,5/28/09,Receipt,,6,,,6,,Boxes,,0
chikwa-H.C-18-06-2009-artemether-lumefantrine- 24s-1,Chama,Chikwa (Chama),Coartem 24,5/29/09,Issuance,,,2,,4,,Boxes,,0
chikwa-H.C-18-06-2009-artemether-lumefantrine- 24s-1,Chama,Chikwa (Chama),Coartem 24,6/1/09,Physical Count,,,,,4,,Boxes,,0
chikwa-H.C-18-06-2009-artemether-lumefantrine- 24s-1,Chama,Chikwa (Chama),Coartem 24,6/12/09,Adjustment,,,,-1,3,,Boxes,,0
chikwa-H.C-18-06-2009-artemether-lumefantrine- 24s-1,Chama,Chikwa (Chama),Coartem 24,6/14/09,Issuance,,,1,,2,,Boxes,,0
chikwa-H.C-198-06-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,5/15/09,Receipt,,2,,,2,,,,0
chikwa-H.C-198-06-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,5/15/09,Issuance,,,1,,1,,,,0
chikwa-H.C-198-06-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,5/27/09,Issuance,,,1,,0,,,,0
chikwa-H.C-198-06-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,5/28/09,Receipt,,6,,,6,,Boxes,,0
chikwa-H.C-198-06-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,6/1/09,Physical Count,,,,,6,,Boxes,,0
chikwa-H.C-198-06-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,6/7/09,Issuance,,,1,,5,,Boxes,,0
chikwa-H.C-198-06-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,6/11/09,Issuance,,,1,,4,,Boxes,,0
chikwa-H.C-198-06-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,6/13/09,Issuance,,,1,,3,,Boxes,,0
chilubanama.H.C-21-5-2009-artemether-lumefantrine 6s-1,Chama,Chilubanama (Chama),Coartem 6,5/1/09,Physical Count,,,,,0,,,,0
chilubanama.H.C-21-5-2009-artemether-lumefantrine 12s-1,Chama,Chilubanama (Chama),Coartem 12,5/1/09,Physical Count,,,,,0,,,,0
chilubanama.H.C-21-5-2009-artemether-lumefantrine 18s-1,Chama,Chilubanama (Chama),Coartem 18,5/1/09,Physical Count,,,,,0,,,,0
chilubanama.H.C-21-5-2009-artemether-lumefantrine 24s-1,Chama,Chilubanama (Chama),Coartem 24,9-May,Physical Count,,,,,240,Dates cut off,,,0
chilubanama.H.C-21-5-2009-artemether-lumefantrine 24s-1,Chama,Chilubanama (Chama),Coartem 24,9-May,Issuance,,,30,,210,Dates cut off,,,0
kambombo H.C-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/3/09,Physical Count,,,,,30,,,,0
kambombo H.C-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/17/09,Issuance,,,30,,0,,,,0
kambombo H.C-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/18/09,Adjustment,,,,60,60,,,,0
kambombo H.C-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/20/09,Issuance,,,30,,30,,,,0
kambombo H.C-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/31/09,Physical Count,,,,,30,,,,0
kambombo H.C-10-6-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,4/30/09,Physical Count,,,,,30,Dates cut off,,,0
kambombo H.C-10-6-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,5/18/09,Adjustment,,,,30,60,,,,0
kambombo H.C-10-6-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,5/19/09,Issuance,,,30,,30,,,,0
kambombo H.C-10-6-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,5/31/09,Physical Count,,,,,30,,,,0
kambombo H.C-10-6-2009-artemether-lumefantrine 18s-1,Chama,Kambombo (Chama),Coartem 18,5/1/09,Physical Count,,,,,30,,,,0
kambombo H.C-10-6-2009-artemether-lumefantrine 18s-1,Chama,Kambombo (Chama),Coartem 18,5/18/09,Adjustment,,,,60,90,,,,0
kambombo H.C-10-6-2009-artemether-lumefantrine 18s-1,Chama,Kambombo (Chama),Coartem 18,5/31/09,Adjustment,,,,-30,60,,,,0
kambombo H.C-10-6-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,5/1/09,Physical Count,,,,,30,,,,0
kambombo H.C-10-6-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,5/18/09,Adjustment,,,,60,90,,,,0
kambombo H.C-10-6-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,5/20/09,Issuance,,,30,,60,,,,0
kambombo H.C-10-6-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,5/31/09,Physical Count,,,,,60,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/3/09,Physical Count,,,,,30,UNCLEAR UNITS,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/17/09,Issuance,,,30,,0,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/18/09,Adjustment,,,,60,60,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/20/09,Issuance,,,30,,30,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/31/09,Physical Count,,,,,30,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,6/20/09,Receipt,,120,,,150,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,6/25/09,Issuance,,,30,,120,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,6/28/09,Physical Count,,,,,120,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,4/30/09,Physical Count,,,,,30,UNCLEAR UNITS,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,5/18/09,Adjustment,,,,30,60,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,5/19/09,Issuance,,,30,,30,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,5/31/09,Physical Count,,,,,30,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,6/20/09,Receipt,,120,,,150,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,6/25/09,Physical Count,,,,,150,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambombo (Chama),Coartem 18,5/1/09,Physical Count,,,,,30,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambombo (Chama),Coartem 18,5/18/09,Adjustment,,,,60,90,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambombo (Chama),Coartem 18,5/31/09,Adjustment,,,,-30,60,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambombo (Chama),Coartem 18,6/20/09,Receipt,,150,,,210,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambombo (Chama),Coartem 18,6/25/09,Physical Count,,,,,210,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,5/1/09,Physical Count,,,,,30,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,5/18/09,Adjustment,,,,60,90,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,5/20/09,Issuance,,,30,,60,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,5/31/09,Physical Count,,,,,60,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,6/20/09,Receipt,,30,,,90,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,6/20/09,Issuance,,,30,,60,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,6/23/09,Receipt,,90,,,150,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,6/25/09,Issuance,,,30,,120,,,,0
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,6/25/09,Physical Count,,,,,120,,,,0
kambwili Health Post-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,4/27/09,Physical Count,,,,,60,,,,0
kambwili Health Post-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,4/30/09,Issuance,,,30,,30,,,,0
kambwili Health Post-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,4/30/09,Physical Count,,,,,30,,,,0
kambwili Health Post-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,5/17/09,Issuance,,,30,,0,,,,0
kambwili Health Post-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,5/31/09,Physical Count,,,,,0,,,,0
kambwili Health Post-10-6-2009-artemether-lumefantrine 18s-1,Chama,Kambwili (Chama),Coartem 18,4/27/09,Physical Count,,,,,60,,,,0
kambwili Health Post-10-6-2009-artemether-lumefantrine 18s-1,Chama,Kambwili (Chama),Coartem 18,4/30/09,Physical Count,,,,,60,,,,0
kambwili Health Post-10-6-2009-artemether-lumefantrine 18s-1,Chama,Kambwili (Chama),Coartem 18,9-May,Physical Count,,,,,60,,,,0
kambwili Health Post-10-6-2009-artemether-lumefantrine 24s-1,Chama,Kambwili (Chama),Coartem 24,4/7/09,Physical Count,,,,,30,UNCLEAR UNITS,,,0
kambwili Health Post-10-6-2009-artemether-lumefantrine 24s-1,Chama,Kambwili (Chama),Coartem 24,4/30/09,Physical Count,,,,,30,UNCLEAR UNITS,,,0
kambwili Health Post-10-6-2009-artemether-lumefantrine 24s-1,Chama,Kambwili (Chama),Coartem 24,5/12/09,Issuance,,,30,,0,,,,0
kambwili Health Post-10-6-2009-artemether-lumefantrine 24s-1,Chama,Kambwili (Chama),Coartem 24,5/31/09,Physical Count,,,,,0,,,,0
kambwili Health Post-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambwili (Chama),Coartem 12,4/27/09,Physical Count,,,,,90,,,,0
kambwili Health Post-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambwili (Chama),Coartem 12,4/30/09,Issuance,,,30,,60,,,,0
kambwili Health Post-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambwili (Chama),Coartem 12,4/30/09,Physical Count,,,,,60,,,,0
kambwili Health Post-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambwili (Chama),Coartem 12,5/31/09,Physical Count,,,,,60,,,,0
kambwili Health Post-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambwili (Chama),Coartem 12,6/12/09,Issuance,,,30,,30,,,,0
kambwili Health Post-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambwili (Chama),Coartem 12,6/26/09,Physical Count,,,,,30,,,,0
kambwili-Health Post-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,4/27/09,Physical Count,,,,,60,,,,0
kambwili-Health Post-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,4/30/09,Issuance,,,30,,30,,,,0
kambwili-Health Post-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,4/30/09,Physical Count,,,,,30,,,,0
kambwili-Health Post-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,5/17/09,Issuance,,,30,,0,,,,0
kambwili-Health Post-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,5/31/09,Physical Count,,,,,0,,,,0
kambwili-Health Post-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,6/22/09,Receipt,,60,,,60,,,,0
kambwili-Health Post-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,6/23/09,Issuance,,,30,,30,,,,0
kambwili-Health Post-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,6/26/09,Physical Count,,,,,30,,,,0
kambwili-Health Post-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambwili (Chama),Coartem 18,4/27/09,Physical Count,,,,,60,,,,0
kambwili-Health Post-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambwili (Chama),Coartem 18,4/30/09,Physical Count,,,,,60,,,,0
kambwili-Health Post-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambwili (Chama),Coartem 18,5/31/09,Physical Count,,,,,60,,,,0
kambwili-Health Post-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambwili (Chama),Coartem 18,6/10/09,Issuance,,,30,,30,,,,0
kambwili-Health Post-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambwili (Chama),Coartem 18,6/26/09,Physical Count,,,,,30,,,,0
kanyelele.H.C-13-5-2009-artemether-lumefantrine-18s-1,Chama,Kanyelele (Chama),Coartem 18,5/9/08,Receipt,,90,,,90,,,,0
kanyelele.H.C-13-5-2009-artemether-lumefantrine-18s-1,Chama,Kanyelele (Chama),Coartem 18,5/9/08,Issuance,,,30,,60,,,,0
kanyelele.H.C-13-5-2009-artemether-lumefantrine-18s-1,Chama,Kanyelele (Chama),Coartem 18,5/14/08,Issuance,,,30,,30,,,,0
kanyelele.H.C-13-5-2009-artemether-lumefantrine-18s-1,Chama,Kanyelele (Chama),Coartem 18,5/19/08,Issuance,,,30,,0,,,,0
kanyelele.H.C-13-5-2009-artemether-lumefantrine-18s-1,Chama,Kanyelele (Chama),Coartem 18,5/31/08,Physical Count,,,0,,0,,,,0
kanyelele.H.C-13-5-2009-artemether-lumefantrine-24s-1,Chama,Kanyelele (Chama),Coartem 24,2/24/08,Receipt,,120,,,120,,,,0
kanyelele.H.C-13-5-2009-artemether-lumefantrine-24s-1,Chama,Kanyelele (Chama),Coartem 24,2/26/08,Issuance,,,40,,80,,,,0
