district,year,cycle,date
kabompo dho,2009,2009-08,2009-08-12
kaoma dho,2009,2009-08,2009-08-13
kasama dho,2009,2009-08,2009-08-06
milenge dho,2009,2009-08,2009-07-28
mkushi dho,2009,2009-08,2009-08-05
mufumbwe dho,2009,2009-08,2009-08-12
mungwi dho,2009,2009-08,2009-08-06
mwinilunga dho,2009,2009-08,2009-08-07
nakonde dho,2009,2009-08,2009-08-08
shangombo dho,2009,2009-08,2009-08-14
chama dho,2009,2009-09,2009-09-10
chavuma dho,2009,2009-09,2009-09-10
kabompo dho,2009,2009-09,2009-09-09
kaoma dho,2009,2009-09,2009-09-10
kasama dho,2009,2009-09,2009-09-02
milenge dho,2009,2009-09,2009-08-25
mkushi dho,2009,2009-09,2009-09-01
mufumbwe dho,2009,2009-09,2009-09-09
mungwi dho,2009,2009-09,2009-09-02
mwinilunga dho,2009,2009-09,2009-09-03
nakonde dho,2009,2009-09,2009-09-04
shangombo dho,2009,2009-09,2009-09-12
chama dho,2009,2009-10,2009-10-15
chavuma dho,2009,2009-10,2009-10-15
kabompo dho,2009,2009-10,2009-10-14
kaoma dho,2009,2009-10,2009-10-15
kasama dho,2009,2009-10,2009-10-07
milenge dho,2009,2009-10,2009-09-29
mkushi dho,2009,2009-10,2009-10-06
mufumbwe dho,2009,2009-10,2009-10-14
mungwi dho,2009,2009-10,2009-10-07
mwinilunga dho,2009,2009-10,2009-10-08
nakonde dho,2009,2009-10,2009-10-09
shangombo dho,2009,2009-10,2009-10-16
chama dho,2009,2009-11,2009-11-12
chavuma dho,2009,2009-11,2009-11-12
kabompo dho,2009,2009-11,2009-11-11
kaoma dho,2009,2009-11,2009-11-12
kasama dho,2009,2009-11,2009-11-04
milenge dho,2009,2009-11,2009-10-27
mkushi dho,2009,2009-11,2009-11-03
mufumbwe dho,2009,2009-11,2009-11-11
mungwi dho,2009,2009-11,2009-11-04
mwinilunga dho,2009,2009-11,2009-11-05
nakonde dho,2009,2009-11,2009-11-06
shangombo dho,2009,2009-11,2009-11-13
chama dho,2009,2009-12,2009-12-10
chavuma dho,2009,2009-12,2009-12-10
kabompo dho,2009,2009-12,2009-12-09
kaoma dho,2009,2009-12,2009-12-10
kasama dho,2009,2009-12,2009-12-02
milenge dho,2009,2009-12,2009-11-24
mkushi dho,2009,2009-12,2009-12-01
mufumbwe dho,2009,2009-12,2009-12-09
mungwi dho,2009,2009-12,2009-12-02
mwinilunga dho,2009,2009-12,2009-12-03
nakonde dho,2009,2009-12,2009-12-04
shangombo dho,2009,2009-12,2009-12-12
chama dho,2010,2010-01,2010-01-13
chavuma dho,2010,2010-01,2010-01-14
kabompo dho,2010,2010-01,2010-01-13
kaoma dho,2010,2010-01,2010-01-20
kasama dho,2010,2010-01,2010-01-06
milenge dho,2010,2010-01,2009-12-29
mkushi dho,2010,2010-01,2010-01-07
mufumbwe dho,2010,2010-01,2010-01-12
mungwi dho,2010,2010-01,2010-01-06
mwinilunga dho,2010,2010-01,2010-01-06
nakonde dho,2010,2010-01,2010-01-08
shangombo dho,2010,2010-01,2010-01-13
chama dho,2010,2010-02,2010-02-10
chavuma dho,2010,2010-02,2010-02-11
kabompo dho,2010,2010-02,2010-02-10
kaoma dho,2010,2010-02,2010-02-17
kasama dho,2010,2010-02,2010-02-03
milenge dho,2010,2010-02,2010-01-26
mkushi dho,2010,2010-02,2010-02-04
mufumbwe dho,2010,2010-02,2010-02-09
mungwi dho,2010,2010-02,2010-02-03
mwinilunga dho,2010,2010-02,2010-02-03
nakonde dho,2010,2010-02,2010-02-05
shangombo dho,2010,2010-02,2010-02-10
chama dho,2010,2010-03,2010-03-11
chavuma dho,2010,2010-03,2010-03-12
kabompo dho,2010,2010-03,2010-03-11
kaoma dho,2010,2010-03,2010-03-17
kasama dho,2010,2010-03,2010-03-03
milenge dho,2010,2010-03,2010-02-24
mkushi dho,2010,2010-03,2010-03-04
mufumbwe dho,2010,2010-03,2010-03-10
mungwi dho,2010,2010-03,2010-03-03
mwinilunga dho,2010,2010-03,2010-03-03
nakonde dho,2010,2010-03,2010-03-05
shangombo dho,2010,2010-03,2010-03-11
chama dho,2010,2010-04,2010-04-15
chavuma dho,2010,2010-04,2010-04-15
kabompo dho,2010,2010-04,2010-04-14
kaoma dho,2010,2010-04,2010-04-21
kasama dho,2010,2010-04,2010-04-08
milenge dho,2010,2010-04,2010-03-30
mkushi dho,2010,2010-04,2010-04-09
mufumbwe dho,2010,2010-04,2010-04-13
mungwi dho,2010,2010-04,2010-04-08
mwinilunga dho,2010,2010-04,2010-04-08
nakonde dho,2010,2010-04,2010-04-10
shangombo dho,2010,2010-04,2010-04-14
chama dho,2010,2010-05,2010-05-12
chavuma dho,2010,2010-05,2010-05-13
kabompo dho,2010,2010-05,2010-05-12
kaoma dho,2010,2010-05,2010-05-19
kasama dho,2010,2010-05,2010-05-05
milenge dho,2010,2010-05,2010-04-27
mkushi dho,2010,2010-05,2010-05-06
mufumbwe dho,2010,2010-05,2010-05-11
mungwi dho,2010,2010-05,2010-05-05
mwinilunga dho,2010,2010-05,2010-05-05
nakonde dho,2010,2010-05,2010-05-07
shangombo dho,2010,2010-05,2010-05-12
chama dho,2010,2010-06,2010-06-09
chavuma dho,2010,2010-06,2010-06-10
kabompo dho,2010,2010-06,2010-06-09
kaoma dho,2010,2010-06,2010-06-16
kasama dho,2010,2010-06,2010-06-02
milenge dho,2010,2010-06,2010-05-25
mkushi dho,2010,2010-06,2010-06-03
mufumbwe dho,2010,2010-06,2010-06-08
mungwi dho,2010,2010-06,2010-06-02
mwinilunga dho,2010,2010-06,2010-06-02
nakonde dho,2010,2010-06,2010-06-04
shangombo dho,2010,2010-06,2010-06-09
chama dho,2010,2010-07,2010-07-16
chavuma dho,2010,2010-07,2010-07-15
kabompo dho,2010,2010-07,2010-07-14
kaoma dho,2010,2010-07,2010-07-21
kasama dho,2010,2010-07,2010-07-10
milenge dho,2010,2010-07,2010-06-29
mkushi dho,2010,2010-07,2010-07-10
mufumbwe dho,2010,2010-07,2010-07-13
mungwi dho,2010,2010-07,2010-07-09
mwinilunga dho,2010,2010-07,2010-07-09
nakonde dho,2010,2010-07,2010-07-10
shangombo dho,2010,2010-07,2010-07-14
chama dho,2010,2010-08,2010-08-12
chavuma dho,2010,2010-08,2010-08-12
kabompo dho,2010,2010-08,2010-08-11
kaoma dho,2010,2010-08,2010-08-18
kasama dho,2010,2010-08,2010-08-05
milenge dho,2010,2010-08,2010-07-27
mkushi dho,2010,2010-08,2010-08-06
mufumbwe dho,2010,2010-08,2010-08-10
mungwi dho,2010,2010-08,2010-08-05
mwinilunga dho,2010,2010-08,2010-08-05
nakonde dho,2010,2010-08,2010-08-07
shangombo dho,2010,2010-08,2010-08-11
chama dho,2010,2010-09,2010-09-08
chavuma dho,2010,2010-09,2010-09-09
kabompo dho,2010,2010-09,2010-09-08
kaoma dho,2010,2010-09,2010-09-15
kasama dho,2010,2010-09,2010-09-01
milenge dho,2010,2010-09,2010-08-24
mkushi dho,2010,2010-09,2010-09-02
mufumbwe dho,2010,2010-09,2010-09-07
mungwi dho,2010,2010-09,2010-09-01
mwinilunga dho,2010,2010-09,2010-09-02
nakonde dho,2010,2010-09,2010-09-03
shangombo dho,2010,2010-09,2010-09-08
chama dho,2010,2010-10,2010-10-13
chavuma dho,2010,2010-10,2010-10-14
kabompo dho,2010,2010-10,2010-10-13
kaoma dho,2010,2010-10,2010-10-20
kasama dho,2010,2010-10,2010-10-06
milenge dho,2010,2010-10,2010-09-28
mkushi dho,2010,2010-10,2009-10-07
mufumbwe dho,2010,2010-10,2010-10-12
mungwi dho,2010,2010-10,2010-10-06
mwinilunga dho,2010,2010-10,2010-10-06
nakonde dho,2010,2010-10,2009-10-08
shangombo dho,2010,2010-10,2010-10-13
chama dho,2010,2010-11,2010-11-10
chavuma dho,2010,2010-11,2010-11-11
kabompo dho,2010,2010-11,2010-11-10
kaoma dho,2010,2010-11,2010-11-17
kasama dho,2010,2010-11,2010-11-03
milenge dho,2010,2010-11,2010-10-27
mkushi dho,2010,2010-11,2010-11-04
mufumbwe dho,2010,2010-11,2010-11-09
mungwi dho,2010,2010-11,2010-11-03
mwinilunga dho,2010,2010-11,2010-11-03
nakonde dho,2010,2010-11,2010-11-05
shangombo dho,2010,2010-11,2010-11-10
chama dho,2010,2010-12,2010-12-08
chavuma dho,2010,2010-12,2010-12-09
kabompo dho,2010,2010-12,2010-12-08
kaoma dho,2010,2010-12,2010-12-15
kasama dho,2010,2010-12,2010-12-01
milenge dho,2010,2010-12,2010-11-23
mkushi dho,2010,2010-12,2009-12-02
mufumbwe dho,2010,2010-12,2010-12-07
mungwi dho,2010,2010-12,2010-12-01
mwinilunga dho,2010,2010-12,2010-12-01
nakonde dho,2010,2010-12,2010-12-03
shangombo dho,2010,2010-12,2010-12-08
