file_name,district,facility,drug_name,date,transaction_type,transacting_party,receipt,issuance,adjustment,stock_balance,units
buli H.C-9-6-2009-artemether-lumefantrine 12s-1,Chama,Buli (Chama),Coartem 12,5/31/09,Physical Count,,NA,NA,NA,0,
buli H.C-9-6-2009-artemether-lumefantrine 12s-1,Chama,Buli (Chama),Coartem 12,6/8/09,Receipt,,60,NA,NA,60,
buli H.C-9-6-2009-artemether-lumefantrine 12s-1,Chama,Buli (Chama),Coartem 12,6/9/09,Issuance,,NA,30,NA,30,
chibale.H.C-20-5-2009-artemether-limefantrine 12s-1,Chama,Chibale (Chama),Coartem 12,5/7/09,Receipt,,60,NA,NA,60,
chibale.H.C-20-5-2009-artemether-limefantrine 12s-1,Chama,Chibale (Chama),Coartem 12,5/8/09,Issuance,,NA,30,NA,30,
chibale.H.C-20-5-2009-artemether-lumefantrine 6s-1,Chama,Chibale (Chama),Coartem 6,5/7/09,Receipt,,60,NA,NA,60,
chibale.H.C-20-5-2009-artemether-lumefantrine 6s-1,Chama,Chibale (Chama),Coartem 6,5/8/09,Issuance,,NA,30,NA,30,
chibale.H.C-20-5-2009-artemether-lumefantrine 24s-1,Chama,Chibale (Chama),Coartem 24,5/7/09,Receipt,,120,NA,NA,120,
chibale.H.C-20-5-2009-artemether-lumefantrine 24s-1,Chama,Chibale (Chama),Coartem 24,5/8/09,Issuance,,NA,30,NA,90,
chifunda-H.C17-06-2099-artemether-lumefantrine 24s-1,Chama,Chifunda (Chama),Coartem 24,5/1/09,Physical Count,,NA,NA,NA,0,
chifunda-H.C17-06-2099-artemether-lumefantrine 24s-1,Chama,Chifunda (Chama),Coartem 24,5/18/09,Receipt,,60,NA,NA,60,
chifunda-H.C17-06-2099-artemether-lumefantrine 24s-1,Chama,Chifunda (Chama),Coartem 24,5/19/09,Issuance,,NA,30,NA,30,
chifunda-H.C17-06-2099-artemether-lumefantrine 24s-1,Chama,Chifunda (Chama),Coartem 24,5/28/09,Issuance,,NA,30,NA,0,
chifunda-H.C17-06-2099-artemether-lumefantrine 24s-1,Chama,Chifunda (Chama),Coartem 24,6/1/09,Physical Count,,NA,NA,NA,0,
chifunda-H.C-17-06-2009-artemether-limefantrine 12s-1,Chama,Chifunda (Chama),Coartem 12,5/1/09,Physical Count,,NA,NA,NA,0,
chifunda-H.C-17-06-2009-artemether-limefantrine 12s-1,Chama,Chifunda (Chama),Coartem 12,5/18/09,Receipt,,60,NA,NA,60,
chifunda-H.C-17-06-2009-artemether-limefantrine 12s-1,Chama,Chifunda (Chama),Coartem 12,5/19/09,Issuance,,NA,30,NA,30,
chifunda-H.C-17-06-2009-artemether-limefantrine 12s-1,Chama,Chifunda (Chama),Coartem 12,6/1/09,Physical Count,,NA,NA,NA,30,
chifunda-H.C-17-06-2009-artemether-limefantrine 12s-1,Chama,Chifunda (Chama),Coartem 12,6/4/09,Issuance,,NA,30,NA,0,
chifunda-H.C-17-06-2009-artemether-limefantrine 12s-1,Chama,Chifunda (Chama),Coartem 12,6/17/09,Physical Count,,NA,NA,NA,0,
chifunda-H.C-17-06-2009-artemether-lumefantrine 18s-1,Chama,Chifunda (Chama),Coartem 18,5/1/09,Physical Count,,NA,NA,NA,0,
chifunda-H.C-17-06-2009-artemether-lumefantrine 18s-1,Chama,Chifunda (Chama),Coartem 18,5/18/09,Receipt,,60,NA,NA,60,
chifunda-H.C-17-06-2009-artemether-lumefantrine 18s-1,Chama,Chifunda (Chama),Coartem 18,5/19/09,Issuance,,NA,30,NA,30,
chifunda-H.C-17-06-2009-artemether-lumefantrine 18s-1,Chama,Chifunda (Chama),Coartem 18,5/28/09,Issuance,,NA,30,NA,0,
chifunda-H.C-17-06-2009-artemether-lumefantrine 18s-1,Chama,Chifunda (Chama),Coartem 18,6/1/09,Physical Count,,NA,NA,NA,0,
chifunda-H.C-17-06-2009-artemether-lumnefantrine 6s-1,Chama,Chifunda (Chama),Coartem 6,5/1/09,Physical Count,,NA,NA,NA,0,
chifunda-H.C-17-06-2009-artemether-lumnefantrine 6s-1,Chama,Chifunda (Chama),Coartem 6,5/18/09,Receipt,,60,NA,NA,60,
chifunda-H.C-17-06-2009-artemether-lumnefantrine 6s-1,Chama,Chifunda (Chama),Coartem 6,5/19/09,Issuance,,NA,30,NA,30,
chifunda-H.C-17-06-2009-artemether-lumnefantrine 6s-1,Chama,Chifunda (Chama),Coartem 6,5/28/09,Issuance,,NA,30,NA,0,
chifunda-H.C-17-06-2009-artemether-lumnefantrine 6s-1,Chama,Chifunda (Chama),Coartem 6,6/1/09,Physical Count,,NA,NA,NA,0,
chigoma-H.C-16-06-2009-artemether-lumefantrine 6s-1,Chama,Chigoma (Chama),Coartem 6,5/21/09,Physical Count,,NA,NA,NA,0,
chigoma-H.C-16-06-2009-artemether-lumefantrine 6s-1,Chama,Chigoma (Chama),Coartem 6,5/29/09,Physical Count,,NA,NA,NA,0,
chigoma-H.C-16-06-2009-artemether-lumefantrine 6s-1,Chama,Chigoma (Chama),Coartem 6,6/3/09,Receipt,,90,NA,NA,90,
chigoma-H.C-16-06-2009-artemether-lumefantrine 6s-1,Chama,Chigoma (Chama),Coartem 6,6/8/09,Issuance,,NA,30,NA,60,
chigoma-H.C-16-06-2009-artemether-lumefantrine 12s-1,Chama,Chigoma (Chama),Coartem 12,5/19/09,Physical Count,,NA,NA,NA,60,
chigoma-H.C-16-06-2009-artemether-lumefantrine 12s-1,Chama,Chigoma (Chama),Coartem 12,5/19/09,Receipt,,60,NA,NA,120,
chigoma-H.C-16-06-2009-artemether-lumefantrine 12s-1,Chama,Chigoma (Chama),Coartem 12,5/21/09,Issuance,,NA,30,NA,90,
chigoma-H.C-16-06-2009-artemether-lumefantrine 12s-1,Chama,Chigoma (Chama),Coartem 12,5/29/09,Physical Count,,NA,NA,NA,90,
chigoma-H.C-16-06-2009-artemether-lumefantrine 12s-1,Chama,Chigoma (Chama),Coartem 12,6/1/09,Issuance,,NA,30,NA,60,
chigoma-H.C-16-06-2009-artemether-lumefantrine 12s-1,Chama,Chigoma (Chama),Coartem 12,6/3/09,Receipt,,90,NA,NA,150,
chigoma-H.C-16-06-2009-artemether-lumefantrine 12s-1,Chama,Chigoma (Chama),Coartem 12,6/8/09,Issuance,,NA,30,NA,120,
chigoma-H.C-16-06-2009-artemether-lumefantrine 18s-1,Chama,Chigoma (Chama),Coartem 18,5/22/09,Physical Count,,NA,NA,NA,150,
chigoma-H.C-16-06-2009-artemether-lumefantrine 18s-1,Chama,Chigoma (Chama),Coartem 18,5/29/09,Physical Count,,NA,NA,NA,150,
chigoma-H.C-16-06-2009-artemether-lumefantrine 18s-1,Chama,Chigoma (Chama),Coartem 18,5/29/09,Issuance,,NA,30,NA,120,
chigoma-H.C-16-06-2009-artemether-lumefantrine 18s-1,Chama,Chigoma (Chama),Coartem 18,6/1/09,Issuance,,NA,60,NA,60,
chigoma-H.C-16-06-2009-artemether-lumefantrine 18s-1,Chama,Chigoma (Chama),Coartem 18,6/3/09,Receipt,,90,NA,NA,150,
chigoma-H.C-16-06-2009-artemether-lumefantrine 24s-1,Chama,Chigoma (Chama),Coartem 24,5/16/09,Physical Count,,NA,NA,NA,30,
chigoma-H.C-16-06-2009-artemether-lumefantrine 24s-1,Chama,Chigoma (Chama),Coartem 24,5/29/09,Physical Count,,NA,NA,NA,30,
chigoma-H.C-16-06-2009-artemether-lumefantrine 24s-1,Chama,Chigoma (Chama),Coartem 24,6/1/09,Issuance,,NA,30,NA,0,
chigoma-H.C-16-06-2009-artemether-lumefantrine 24s-1,Chama,Chigoma (Chama),Coartem 24,6/3/09,Receipt,,30,NA,NA,90,
chigoma-H.C-16-06-2009-artemether-lumefantrine 24s-1,Chama,Chigoma (Chama),Coartem 24,6/8/09,Issuance,,NA,30,NA,60,
chigoma-H.C-16-06-2009-artemether-lumefantrine 24s-1,Chama,Chigoma (Chama),Coartem 24,6/16/09,Issuance,,NA,30,NA,30,
chikwa-18-06-2009-artemether-lumefntrine 6s-1,Chama,Chikwa (Chama),Coartem 6,9-May,Issuance,,NA,2,NA,0,
chikwa-18-06-2009-artemether-lumefntrine 6s-1,Chama,Chikwa (Chama),Coartem 6,9-May,Receipt,,6,NA,NA,6,Boxes
chikwa-18-06-2009-artemether-lumefntrine 6s-1,Chama,Chikwa (Chama),Coartem 6,9-May,Issuance,,NA,1,NA,5,Boxes
chikwa-18-06-2009-artemether-lumefntrine 6s-1,Chama,Chikwa (Chama),Coartem 6,9-May,Issuance,,NA,1,NA,4,Boxes
chikwa-18-06-2009-artemether-lumefntrine 6s-1,Chama,Chikwa (Chama),Coartem 6,9-Jun,Physical Count,,NA,NA,NA,4,Boxes
chikwa-18-06-2009-artemether-lumefntrine 6s-1,Chama,Chikwa (Chama),Coartem 6,9-Jun,Issuance,,NA,1,NA,3,Boxes
chikwa-18-06-2009-artemether-lumefntrine 6s-1,Chama,Chikwa (Chama),Coartem 6,9-Jun,Issuance,,NA,1,NA,2,Boxes
chikwa.H.C-18-5-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,5/15/09,Receipt,,2,NA,NA,2,
chikwa.H.C-18-5-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,5/15/09,Issuance,,NA,1,NA,1,
chikwa.H.C-18-5-2009-artemether-lumefantrine 18s-1,Chama,Chikwa (Chama),Coartem 18,9-May,Receipt,,2,NA,NA,2,
chikwa.H.C-18-5-2009-artemether-lumefantrine 18s-1,Chama,Chikwa (Chama),Coartem 18,9-May,Issuance,,NA,1,NA,1,
chikwa.H.C-18-5-2009-artemether-lumefantrine 24s-1,Chama,Chikwa (Chama),Coartem 24,9-May,Receipt,,2,NA,NA,2,
chikwa.H.C-18-5-2009-artemether-lumefantrine 24s-1,Chama,Chikwa (Chama),Coartem 24,9-May,Issuance,,NA,1,NA,1,
chikwa-H.C-18-06-2009-artemether-lumefantrine- 24s-1,Chama,Chikwa (Chama),Coartem 24,5/15/09,Receipt,,2,NA,NA,2,
chikwa-H.C-18-06-2009-artemether-lumefantrine- 24s-1,Chama,Chikwa (Chama),Coartem 24,5/22/09,Issuance,,NA,2,NA,0,
chikwa-H.C-18-06-2009-artemether-lumefantrine- 24s-1,Chama,Chikwa (Chama),Coartem 24,5/28/09,Receipt,,6,NA,NA,6,Boxes
chikwa-H.C-18-06-2009-artemether-lumefantrine- 24s-1,Chama,Chikwa (Chama),Coartem 24,5/29/09,Issuance,,NA,2,NA,4,Boxes
chikwa-H.C-18-06-2009-artemether-lumefantrine- 24s-1,Chama,Chikwa (Chama),Coartem 24,6/1/09,Physical Count,,NA,NA,NA,4,Boxes
chikwa-H.C-18-06-2009-artemether-lumefantrine- 24s-1,Chama,Chikwa (Chama),Coartem 24,6/12/09,Adjustment,,NA,NA,-1,3,Boxes
chikwa-H.C-18-06-2009-artemether-lumefantrine- 24s-1,Chama,Chikwa (Chama),Coartem 24,6/14/09,Issuance,,NA,1,NA,2,Boxes
chikwa-H.C-198-06-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,5/15/09,Receipt,,2,NA,NA,2,
chikwa-H.C-198-06-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,5/15/09,Issuance,,NA,1,NA,1,
chikwa-H.C-198-06-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,5/27/09,Issuance,,NA,1,NA,0,
chikwa-H.C-198-06-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,5/28/09,Receipt,,6,NA,NA,6,Boxes
chikwa-H.C-198-06-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,6/1/09,Physical Count,,NA,NA,NA,6,Boxes
chikwa-H.C-198-06-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,6/7/09,Issuance,,NA,1,NA,5,Boxes
chikwa-H.C-198-06-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,6/11/09,Issuance,,NA,1,NA,4,Boxes
chikwa-H.C-198-06-2009-artemether-lumefantrine 12s-1,Chama,Chikwa (Chama),Coartem 12,6/13/09,Issuance,,NA,1,NA,3,Boxes
chilubanama.H.C-21-5-2009-artemether-lumefantrine 6s-1,Chama,Chilubanama (Chama),Coartem 6,5/1/09,Physical Count,,NA,NA,NA,0,
chilubanama.H.C-21-5-2009-artemether-lumefantrine 12s-1,Chama,Chilubanama (Chama),Coartem 12,5/1/09,Physical Count,,NA,NA,NA,0,
chilubanama.H.C-21-5-2009-artemether-lumefantrine 18s-1,Chama,Chilubanama (Chama),Coartem 18,5/1/09,Physical Count,,NA,NA,NA,0,
chilubanama.H.C-21-5-2009-artemether-lumefantrine 24s-1,Chama,Chilubanama (Chama),Coartem 24,9-May,Physical Count,,NA,NA,NA,240,
chilubanama.H.C-21-5-2009-artemether-lumefantrine 24s-1,Chama,Chilubanama (Chama),Coartem 24,9-May,Issuance,,NA,30,NA,210,
kambombo H.C-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/3/09,Physical Count,,NA,NA,NA,30,
kambombo H.C-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/17/09,Issuance,,NA,30,NA,0,
kambombo H.C-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/18/09,Adjustment,,NA,NA,60,60,
kambombo H.C-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/20/09,Issuance,,NA,30,NA,30,
kambombo H.C-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/31/09,Physical Count,,NA,NA,NA,30,
kambombo H.C-10-6-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,4/30/09,Physical Count,,NA,NA,NA,30,
kambombo H.C-10-6-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,5/18/09,Adjustment,,NA,NA,30,60,
kambombo H.C-10-6-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,5/19/09,Issuance,,NA,30,NA,30,
kambombo H.C-10-6-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,5/31/09,Physical Count,,NA,NA,NA,30,
kambombo H.C-10-6-2009-artemether-lumefantrine 18s-1,Chama,Kambombo (Chama),Coartem 18,5/1/09,Physical Count,,NA,NA,NA,30,
kambombo H.C-10-6-2009-artemether-lumefantrine 18s-1,Chama,Kambombo (Chama),Coartem 18,5/18/09,Adjustment,,NA,NA,60,90,
kambombo H.C-10-6-2009-artemether-lumefantrine 18s-1,Chama,Kambombo (Chama),Coartem 18,5/31/09,Adjustment,,NA,NA,-30,60,
kambombo H.C-10-6-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,5/1/09,Physical Count,,NA,NA,NA,30,
kambombo H.C-10-6-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,5/18/09,Adjustment,,NA,NA,60,90,
kambombo H.C-10-6-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,5/20/09,Issuance,,NA,30,NA,60,
kambombo H.C-10-6-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,5/31/09,Physical Count,,NA,NA,NA,60,
kambombo-H.C-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/3/09,Physical Count,,NA,NA,NA,30,
kambombo-H.C-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/17/09,Issuance,,NA,30,NA,0,
kambombo-H.C-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/18/09,Adjustment,,NA,NA,60,60,
kambombo-H.C-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/20/09,Issuance,,NA,30,NA,30,
kambombo-H.C-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,5/31/09,Physical Count,,NA,NA,NA,30,
kambombo-H.C-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,6/20/09,Receipt,,120,NA,NA,150,
kambombo-H.C-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,6/25/09,Issuance,,NA,30,NA,120,
kambombo-H.C-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambombo (Chama),Coartem 6,6/28/09,Physical Count,,NA,NA,NA,120,
kambombo-H.C-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,4/30/09,Physical Count,,NA,NA,NA,30,
kambombo-H.C-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,5/18/09,Adjustment,,NA,NA,30,60,
kambombo-H.C-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,5/19/09,Issuance,,NA,30,NA,30,
kambombo-H.C-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,5/31/09,Physical Count,,NA,NA,NA,30,
kambombo-H.C-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,6/20/09,Receipt,,120,NA,NA,150,
kambombo-H.C-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambombo (Chama),Coartem 12,6/25/09,Physical Count,,NA,NA,NA,150,
kambombo-H.C-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambombo (Chama),Coartem 18,5/1/09,Physical Count,,NA,NA,NA,30,
kambombo-H.C-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambombo (Chama),Coartem 18,5/18/09,Adjustment,,NA,NA,60,90,
kambombo-H.C-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambombo (Chama),Coartem 18,5/31/09,Adjustment,,NA,NA,-30,60,
kambombo-H.C-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambombo (Chama),Coartem 18,6/20/09,Receipt,,150,NA,NA,210,
kambombo-H.C-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambombo (Chama),Coartem 18,6/25/09,Physical Count,,NA,NA,NA,210,
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,5/1/09,Physical Count,,NA,NA,NA,30,
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,5/18/09,Adjustment,,NA,NA,60,90,
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,5/20/09,Issuance,,NA,30,NA,60,
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,5/31/09,Physical Count,,NA,NA,NA,60,
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,6/20/09,Receipt,,30,NA,NA,90,
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,6/20/09,Issuance,,NA,30,NA,60,
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,6/23/09,Receipt,,90,NA,NA,150,
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,6/25/09,Issuance,,NA,30,NA,120,
kambombo-H.C-27-07-2009-artemether-lumefantrine 24s-1,Chama,Kambombo (Chama),Coartem 24,6/25/09,Physical Count,,NA,NA,NA,120,
kambwili Health Post-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,4/27/09,Physical Count,,NA,NA,NA,60,
kambwili Health Post-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,4/30/09,Issuance,,NA,30,NA,30,
kambwili Health Post-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,4/30/09,Physical Count,,NA,NA,NA,30,
kambwili Health Post-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,5/17/09,Issuance,,NA,30,NA,0,
kambwili Health Post-10-6-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,5/31/09,Physical Count,,NA,NA,NA,0,
kambwili Health Post-10-6-2009-artemether-lumefantrine 18s-1,Chama,Kambwili (Chama),Coartem 18,4/27/09,Physical Count,,NA,NA,NA,60,
kambwili Health Post-10-6-2009-artemether-lumefantrine 18s-1,Chama,Kambwili (Chama),Coartem 18,4/30/09,Physical Count,,NA,NA,NA,60,
kambwili Health Post-10-6-2009-artemether-lumefantrine 18s-1,Chama,Kambwili (Chama),Coartem 18,9-May,Physical Count,,NA,NA,NA,60,
kambwili Health Post-10-6-2009-artemether-lumefantrine 24s-1,Chama,Kambwili (Chama),Coartem 24,4/7/09,Physical Count,,NA,NA,NA,30,
kambwili Health Post-10-6-2009-artemether-lumefantrine 24s-1,Chama,Kambwili (Chama),Coartem 24,4/30/09,Physical Count,,NA,NA,NA,30,
kambwili Health Post-10-6-2009-artemether-lumefantrine 24s-1,Chama,Kambwili (Chama),Coartem 24,5/12/09,Issuance,,NA,30,NA,0,
kambwili Health Post-10-6-2009-artemether-lumefantrine 24s-1,Chama,Kambwili (Chama),Coartem 24,5/31/09,Physical Count,,NA,NA,NA,0,
kambwili Health Post-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambwili (Chama),Coartem 12,4/27/09,Physical Count,,NA,NA,NA,90,
kambwili Health Post-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambwili (Chama),Coartem 12,4/30/09,Issuance,,NA,30,NA,60,
kambwili Health Post-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambwili (Chama),Coartem 12,4/30/09,Physical Count,,NA,NA,NA,60,
kambwili Health Post-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambwili (Chama),Coartem 12,5/31/09,Physical Count,,NA,NA,NA,60,
kambwili Health Post-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambwili (Chama),Coartem 12,6/12/09,Issuance,,NA,30,NA,30,
kambwili Health Post-27-07-2009-artemether-lumefantrine 12s-1,Chama,Kambwili (Chama),Coartem 12,6/26/09,Physical Count,,NA,NA,NA,30,
kambwili-Health Post-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,4/27/09,Physical Count,,NA,NA,NA,60,
kambwili-Health Post-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,4/30/09,Issuance,,NA,30,NA,30,
kambwili-Health Post-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,4/30/09,Physical Count,,NA,NA,NA,30,
kambwili-Health Post-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,5/17/09,Issuance,,NA,30,NA,0,
kambwili-Health Post-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,5/31/09,Physical Count,,NA,NA,NA,0,
kambwili-Health Post-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,6/22/09,Receipt,,60,NA,NA,60,
kambwili-Health Post-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,6/23/09,Issuance,,NA,30,NA,30,
kambwili-Health Post-27-07-2009-artemether-lumefantrine 6s-1,Chama,Kambwili (Chama),Coartem 6,6/26/09,Physical Count,,NA,NA,NA,30,
kambwili-Health Post-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambwili (Chama),Coartem 18,4/27/09,Physical Count,,NA,NA,NA,60,
kambwili-Health Post-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambwili (Chama),Coartem 18,4/30/09,Physical Count,,NA,NA,NA,60,
kambwili-Health Post-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambwili (Chama),Coartem 18,5/31/09,Physical Count,,NA,NA,NA,60,
kambwili-Health Post-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambwili (Chama),Coartem 18,6/10/09,Issuance,,NA,30,NA,30,
kambwili-Health Post-27-07-2009-artemether-lumefantrine 18s-1,Chama,Kambwili (Chama),Coartem 18,6/26/09,Physical Count,,NA,NA,NA,30,
kanyelele.H.C-13-5-2009-artemether-lumefantrine-18s-1,Chama,Kanyelele (Chama),Coartem 18,5/9/08,Receipt,,90,NA,NA,90,
kanyelele.H.C-13-5-2009-artemether-lumefantrine-18s-1,Chama,Kanyelele (Chama),Coartem 18,5/9/08,Issuance,,NA,30,NA,60,
kanyelele.H.C-13-5-2009-artemether-lumefantrine-18s-1,Chama,Kanyelele (Chama),Coartem 18,5/14/08,Issuance,,NA,30,NA,30,
kanyelele.H.C-13-5-2009-artemether-lumefantrine-18s-1,Chama,Kanyelele (Chama),Coartem 18,5/19/08,Issuance,,NA,30,NA,0,
kanyelele.H.C-13-5-2009-artemether-lumefantrine-18s-1,Chama,Kanyelele (Chama),Coartem 18,5/31/08,Physical Count,,NA,0,NA,0,
kanyelele.H.C-13-5-2009-artemether-lumefantrine-24s-1,Chama,Kanyelele (Chama),Coartem 24,2/24/08,Receipt,,120,NA,NA,120,
kanyelele.H.C-13-5-2009-artemether-lumefantrine-24s-1,Chama,Kanyelele (Chama),Coartem 24,2/26/08,Issuance,,NA,40,NA,80,
kanyelele.H.C-13-5-2009-artemether-lumefantrine-24s-1,Chama,Kanyelele (Chama),Coartem 24,2/28/08,Issuance,,NA,30,NA,50,
